ID;nombre;apellido;edad;genero;altura
35;Pablo;Rivera;27;M;1.82
22;Hugo;Ibáñez;24;M;1.84
41;Raúl;Rivas;33;M;1.79
10;Javier;Vargas;21;M;1.82
17;Elena;Gutiérrez;43;F;1.67
28;Isabel;Paredes;44;F;1.72
3;María;López;35;F;1.65
25;Alejandro;Salas;23;M;1.74
31;Óscar;Peña;22;M;1.81
45;Fernando;Solís;32;M;1.75
5;Ana;Rodríguez;40;F;1.70
13;Clara;Romero;32;F;1.64
9;Laura;Morales;41;F;1.68
21;Eva;Fernández;39;F;1.62
40;Beatriz;Gallardo;40;F;1.65
39;Iván;Flores;28;M;1.77
1;Carlos;Gomez;29;M;1.80
36;Rosa;Varela;31;F;1.67
44;Gloria;Serrano;37;F;1.70
20;Tomás;Castillo;31;M;1.77
12;Andrés;Castro;27;M;1.76
38;Verónica;Lara;35;F;1.60
30;Gabriela;León;45;F;1.64
8;Miguel;Torres;29;M;1.78
19;Paula;Reyes;36;F;1.69
24;Daniela;Silva;26;M;1.80
50;Inés;Cáceres;43;F;1.61
34;Adriana;Fuentes;38;F;1.66
29;Manuel;Blanco;18;M;1.88
15;Carmen;Ortiz;37;F;1.63
2;Juan;Pérez;23;M;1.80
18;Diego;Navarro;22;M;1.83
49;Ricardo;Benítez;21;M;1.78
52;Carolina;Herrera;44;F;1.72
4;Carlos;Gómez;28;M;1.75
33;Jorge;Suárez;29;M;1.76
27;Santiago;Soto;20;M;1.86
7;Sofía;Ramírez;33;F;1.60
43;Sebastián;Moya;24;M;1.84
47;Pedro;Gil;26;M;1.83
26;Natalia;Cruz;42;F;1.61
16;Felipe;Delgado;30;M;1.81
46;Nuria;Paz;39;F;1.64
6;Luis;Hernández;19;M;1.85
42;Teresa;Domínguez;41;F;1.63
11;Lucía;Sánchez;38;F;1.66
32;Patricia;Campos;46;F;1.68
14;David;Méndez;25;M;1.79
48;Alicia;Maldonado;34;F;1.62
37;Enrique;Vidal;23;M;1.85
51;Ramón;Estévez;20;M;1.86
23;Marta;Núñez;34;F;1.71
22;Ignacio;Díaz;24;M;1.83
53;Roberto;Velasco;34;M;1.80
67;Bruno;Vargas;28;M;1.82
59;Mario;Molina;36;M;1.78
58;Lidia;Ortiz;45;F;1.63
55;Francisco;Lara;38;M;1.79
76;Emma;Soto;33;F;1.69
62;Celia;Pérez;41;F;1.62
66;Mónica;López;30;F;1.70
80;Nora;Torres;42;F;1.65
57;Alberto;Campos;32;M;1.81
79;Rafael;Flores;21;M;1.80
61;Ignacio;Díaz;24;M;1.83
86;Eva;Cano;34;F;1.67
77;Esteban;Castillo;30;M;1.82
56;Silvia;Ríos;27;F;1.64
73;Julián;Ramírez;23;M;1.79
78;Olga;Herrera;38;F;1.61
63;Federico;Santos;35;M;1.84
54;Julia;Esquivel;29;F;1.67
90;Lorena;Gallardo;35;F;1.61
69;Sergio;Ruiz;22;M;1.80
72;Amelia;Silva;44;F;1.64
70;Irene;Rodríguez;29;F;1.66
64;Ángela;García;39;F;1.65
74;Cristina;Vega;36;F;1.68
82;Elisa;Rivas;25;F;1.63
68;Pilar;Méndez;37;F;1.61
83;Rodrigo;Paz;22;M;1.87
87;Claudia;Navarro;39;F;1.66
88;Alejandro;Serrano;29;M;1.78
81;Gabriel;Gómez;24;M;1.85
93;Cristóbal;Benítez;23;M;1.82
95;Álvaro;Jiménez;28;M;1.85
92;Berta;Romero;42;F;1.62
91;Adrián;Blanco;26;M;1.84
84;Marina;Delgado;40;F;1.64
85;Mauricio;Vidal;31;M;1.83
